case,wavelength_sensitivity_nm_per_riu,archived_as_riu_inv,note
Esophageal tumor,8695.65,-375.93,Manuscript reference value
Pancreatic adenocarcinoma,4583.33,-953.79,Manuscript reference value
IPMN,4090.91,-680.56,Manuscript reference value
Tubulovillous adenoma,2105.26,-240.74,Manuscript reference value
Colon adenocarcinoma,2000.00,-175.34,Manuscript reference value
Metastatic liver tissue (MET),2162.16,235.73,Manuscript reference value
Hepatocellular carcinoma (HCC),2013.42,221.12,Manuscript reference value
